0.4	5447940
0.405	5524890
0.41	5627430
0.415	5598310
0.42	5717830
0.425	5748360
0.43	5782900
0.435	5749470
0.44	5706340
0.445	5658230
0.45	5892740
0.455	5574050
0.46	5856660
0.465	5868690
0.47	5387650
0.475	6043070
0.48	6019010
0.485	6049080
0.49	6175350
0.495	6061100
0.5	6127250
0.505	5898750
0.51	6085160
0.515	6055090
0.52	6259530
0.525	6421880
0.53	6433910
0.535	6692470
0.54	6614300
0.545	6710510
0.55	6824760
0.555	6650380
0.56	6878870
0.565	7107370
0.57	6884890
0.575	7077300
0.58	6987110
0.585	6866850
0.59	6981090
0.595	6920960
0.6	7233640
0.605	6872860
0.61	7101350
0.615	7011160
0.62	7498210
0.625	7071290
0.63	7630500
0.635	7648540
0.64	7233640
0.645	7654550
0.65	7630500
0.655	7522260
0.66	7642520
0.665	7732720
0.67	7852980
0.675	7582390
0.68	8159640
0.685	7877030
0.69	7720690
0.695	8069450
0.7	7865000
0.705	8346040
0.71	7798860
0.715	7919120
0.72	8502380
0.725	8352060
0.73	8177680
0.735	8027360
0.74	8159640
0.745	8382120
0.75	8099510
0.755	8195720
0.76	7955200
0.765	7985260
0.77	8177680
0.775	8400160
0.78	8442250
0.785	8081470
0.79	7931150
0.795	8640680
0.8	8195720
0.805	8418200
0.81	8225780
0.815	8394150
0.82	7780820
0.825	8213760
0.83	8315980
0.835	8165650
0.84	8388140
0.845	7961210
0.85	8189710
0.855	7889060
0.86	7925130
0.865	8111540
0.87	7871020
0.875	7630500
0.88	7624480
0.885	7371940
0.89	7149460
0.895	7426060
0.9	7335860
0.905	6975080
0.91	7035210
0.915	6740570
0.92	6993120
0.925	6626330
0.93	6860830
0.935	6824760
0.94	6205420
0.945	5886730
0.95	5495880
0.955	5760450
0.96	5790520
0.965	5255360
0.97	4834450
0.975	4799240
0.98	4808450
0.985	4573760
0.99	4383500
0.995	4178670
1	3956890
1.005	3693440
1.01	3473490
1.015	3229230
1.02	3024610
1.025	2781010
1.03	2554340
1.035	2399880
1.04	2196060
1.045	1993340
1.05	1837630
1.055	1689510
1.06	1525700
1.065	1372980
1.07	1222680
1.075	1092960
1.08	972141
1.085	852129
1.09	751754
1.095	650138
1.1	572685
1.105	505306
1.11	463103
1.115	438812
1.12	408562
1.125	387674
1.13	379677
1.135	374902
1.14	379580
1.145	390770
1.15	411509
1.155	426018
1.16	444034
1.165	458909
1.17	479171
1.175	488727
1.18	497067
1.185	503886
1.19	506676
1.195	505370
1.2	494270
1.205	481655
1.21	465959
1.215	448242
1.22	426570
1.225	403392
1.23	383123
1.235	359281
1.24	337655
1.245	316632
